id,name,rank_all,rank_futures,rank_equities_only,profit,trades,win_rate,profit_factor,avg_win,avg_loss,profit_1y,first,last,active_days,green_day_pct,daily_sharpe_ann,max_drawdown,recovery_factor,worst_day,best_day,top5pct_days_share_of_profit,profitable_years,years,recent_asset_mix,recent_median_hold_min,tickers_hidden,twitter,url
50716,DvonDon,326,,105,14692.72,423,0.7801,1.36,168.8339,-441.1019,5980.16,2023-04-12,2026-09-22,264,0.75,1.6727,6841.588,2.1476,-3393.5138,1824.725,0.8401,4,4,STK:5,158.9333,False,,https://kinfo.com/portfolio/50716/performance
45475,Gasman,327,,106,14659.26,586,0.727,1.23,181.4412,-391.4667,-20568.56,2024-05-10,2026-09-04,296,0.7331,0.424,41842.604,0.3503,-29428.91,3875,1.7118,1,3,STK:5,42.8333,False,,https://kinfo.com/portfolio/45475/performance
39652,KeonTheTrader,330,,107,13689.98,3036,0.7576,1.27,39.2962,-97.031,15509.12,2025-05-20,2026-09-22,318,0.6667,1.1142,7662.85,1.7865,-7662.85,2065.68,1.2171,1,2,STK:5,,False,,https://kinfo.com/portfolio/39652/performance
13441,JohnyG,331,,108,13576.57,1053,0.7873,1.19,103.2083,-321.3531,8138.49,2024-12-20,2026-08-05,263,0.7985,0.8479,11075.1593,1.2259,-10922.63,2519.351,1.1194,2,3,STK:5,4.4,False,,https://kinfo.com/portfolio/13441/performance
67870,paulosuarez,333,29,,13461.22,470,0.5936,1.34,188.4629,-204.8164,14487.25,2021-11-05,2026-09-04,259,0.6255,1.6493,5539.25,2.4302,-3948.75,3020.63,1.2011,3,6,FUT:4;STK:1,24.4667,False,,https://kinfo.com/portfolio/67870/performance
41922,Elaine,334,,109,13280.73,504,0.7639,1.28,159.5542,-404.602,6432.13,2023-05-03,2026-09-22,227,0.7621,1.2902,7654.559,1.735,-5260,2193,1.0575,2,4,STK:5,1.8667,False,,https://kinfo.com/portfolio/41922/performance
63342,MickaelFGameiro,335,,110,13100.43,1884,0.4209,1.15,126.7873,-79.9891,8044.49,2025-02-24,2026-09-18,217,0.6406,0.9367,14187.2353,0.9234,-11076.5002,6680.7842,1.5705,1,2,STK:5,12.1167,False,@MickaelFGameiro,https://kinfo.com/portfolio/63342/performance
74771,derekleong,336,,111,12802.08,1983,0.4523,1.12,128.9104,-94.6874,12802.08,2026-05-13,2026-09-22,73,0.7123,2.7901,10348.9,1.237,-3541.27,2203.58,0.4661,1,1,STK:5,18.7167,True,,https://kinfo.com/portfolio/74771/performance
79581,annie-ai,339,,112,11779.11,567,0.5785,1.3,156.1634,-165.0314,3702.75,2024-09-09,2026-09-22,314,0.586,1.4182,4104.25,2.87,-2026.18,3652.36,1.3791,3,3,STK:5,10077.65,False,@ANNIE_Trades,https://kinfo.com/portfolio/79581/performance
43395,SHathaway,343,,113,11311.68,420,0.7405,1.23,197.1879,-458.8417,3052.14,2023-04-11,2026-09-17,246,0.748,1.0231,6289.86,1.7984,-5771.91,1525,1.1895,3,4,STK:5,396.45,False,,https://kinfo.com/portfolio/43395/performance
39587,jgvarias,348,,114,10216.92,6324,0.7592,1.45,9.2902,-20.236,5423.6,2024-02-02,2026-09-22,579,0.7012,1.4496,3780.3992,2.7026,-3235.6531,1037.858,0.9241,2,3,STK:5,4.0333,False,@JGV0,https://kinfo.com/portfolio/39587/performance
26487,Mark Schooley,349,,115,9968.39,883,0.5946,1.14,153.0817,-196.6466,-3600.33,2022-03-16,2026-09-18,366,0.6694,0.8627,8672.645,1.1494,-2975,3080.0667,2.0023,3,5,STK:5,48.0667,False,,https://kinfo.com/portfolio/26487/performance
99649,Astatium,353,30,,9102.72,3362,0.613,1.07,68.3054,-101.2099,-1171.59,2023-09-11,2026-09-22,521,0.7543,0.6482,7816.4118,1.1646,-4439.8169,1474.6663,2.0464,3,4,STK:5,7205.2833,False,,https://kinfo.com/portfolio/99649/performance
